,data,valor,data da extração,responsável
0,1986-06-04,0.065041,2022-08-16,Fulano de Tal
1,1986-06-05,0.067397,2022-08-16,Fulano de Tal
2,1986-06-06,0.06674,2022-08-16,Fulano de Tal
3,1986-06-09,0.068247,2022-08-16,Fulano de Tal
4,1986-06-10,0.067041,2022-08-16,Fulano de Tal
5,1986-06-11,0.06674,2022-08-16,Fulano de Tal
6,1986-06-12,0.066575,2022-08-16,Fulano de Tal
7,1986-06-13,0.066164,2022-08-16,Fulano de Tal
8,1986-06-16,0.066493,2022-08-16,Fulano de Tal
9,1986-06-17,0.066247,2022-08-16,Fulano de Tal
10,1986-06-18,0.066301,2022-08-16,Fulano de Tal
11,1986-06-19,0.066164,2022-08-16,Fulano de Tal
12,1986-06-20,0.066055,2022-08-16,Fulano de Tal
13,1986-06-23,0.06611,2022-08-16,Fulano de Tal
14,1986-06-24,0.066027,2022-08-16,Fulano de Tal
15,1986-06-25,0.066493,2022-08-16,Fulano de Tal
16,1986-06-26,0.066411,2022-08-16,Fulano de Tal
17,1986-06-27,0.066301,2022-08-16,Fulano de Tal
18,1986-06-30,0.066603,2022-08-16,Fulano de Tal
19,1986-07-01,0.06663,2022-08-16,Fulano de Tal
20,1986-07-02,0.068301,2022-08-16,Fulano de Tal
21,1986-07-03,0.073973,2022-08-16,Fulano de Tal
22,1986-07-04,0.083178,2022-08-16,Fulano de Tal
23,1986-07-07,0.083315,2022-08-16,Fulano de Tal
24,1986-07-08,0.083151,2022-08-16,Fulano de Tal
25,1986-07-09,0.084411,2022-08-16,Fulano de Tal
26,1986-07-10,0.085096,2022-08-16,Fulano de Tal
27,1986-07-11,0.085151,2022-08-16,Fulano de Tal
28,1986-07-14,0.085178,2022-08-16,Fulano de Tal
29,1986-07-15,0.084767,2022-08-16,Fulano de Tal
30,1986-07-16,0.084849,2022-08-16,Fulano de Tal
31,1986-07-17,0.084849,2022-08-16,Fulano de Tal
32,1986-07-18,0.085014,2022-08-16,Fulano de Tal
33,1986-07-21,0.085041,2022-08-16,Fulano de Tal
34,1986-07-22,0.08526,2022-08-16,Fulano de Tal
35,1986-07-23,0.08789,2022-08-16,Fulano de Tal
36,1986-07-24,0.088164,2022-08-16,Fulano de Tal
37,1986-07-25,0.088438,2022-08-16,Fulano de Tal
38,1986-07-28,0.088849,2022-08-16,Fulano de Tal
39,1986-07-29,0.088849,2022-08-16,Fulano de Tal
40,1986-07-30,0.088795,2022-08-16,Fulano de Tal
41,1986-07-31,0.088849,2022-08-16,Fulano de Tal
42,1986-08-01,0.088986,2022-08-16,Fulano de Tal
43,1986-08-04,0.089315,2022-08-16,Fulano de Tal
44,1986-08-05,0.089671,2022-08-16,Fulano de Tal
45,1986-08-06,0.090219,2022-08-16,Fulano de Tal
46,1986-08-07,0.093644,2022-08-16,Fulano de Tal
47,1986-08-08,0.110356,2022-08-16,Fulano de Tal
48,1986-08-11,0.127644,2022-08-16,Fulano de Tal
49,1986-08-12,0.126575,2022-08-16,Fulano de Tal
50,1986-08-13,0.129315,2022-08-16,Fulano de Tal
51,1986-08-14,0.129589,2022-08-16,Fulano de Tal
52,1986-08-15,0.132082,2022-08-16,Fulano de Tal
53,1986-08-18,0.132932,2022-08-16,Fulano de Tal
54,1986-08-19,0.132521,2022-08-16,Fulano de Tal
55,1986-08-20,0.132301,2022-08-16,Fulano de Tal
56,1986-08-21,0.132904,2022-08-16,Fulano de Tal
57,1986-08-22,0.133123,2022-08-16,Fulano de Tal
58,1986-08-25,0.133041,2022-08-16,Fulano de Tal
59,1986-08-26,0.133014,2022-08-16,Fulano de Tal
60,1986-08-27,0.133068,2022-08-16,Fulano de Tal
61,1986-08-28,0.132986,2022-08-16,Fulano de Tal
62,1986-08-29,0.13326,2022-08-16,Fulano de Tal
63,1986-09-01,0.130959,2022-08-16,Fulano de Tal
64,1986-09-02,0.131178,2022-08-16,Fulano de Tal
65,1986-09-03,0.131562,2022-08-16,Fulano de Tal
66,1986-09-04,0.13126,2022-08-16,Fulano de Tal
67,1986-09-05,0.131342,2022-08-16,Fulano de Tal
68,1986-09-08,0.131151,2022-08-16,Fulano de Tal
69,1986-09-09,0.131425,2022-08-16,Fulano de Tal
70,1986-09-10,0.131315,2022-08-16,Fulano de Tal
71,1986-09-11,0.131315,2022-08-16,Fulano de Tal
72,1986-09-12,0.131315,2022-08-16,Fulano de Tal
73,1986-09-15,0.131315,2022-08-16,Fulano de Tal
74,1986-09-16,0.131315,2022-08-16,Fulano de Tal
75,1986-09-17,0.131973,2022-08-16,Fulano de Tal
76,1986-09-18,0.13211,2022-08-16,Fulano de Tal
77,1986-09-19,0.132356,2022-08-16,Fulano de Tal
78,1986-09-22,0.132575,2022-08-16,Fulano de Tal
79,1986-09-23,0.132904,2022-08-16,Fulano de Tal
80,1986-09-24,0.132548,2022-08-16,Fulano de Tal
81,1986-09-25,0.132767,2022-08-16,Fulano de Tal
82,1986-09-26,0.132685,2022-08-16,Fulano de Tal
83,1986-09-29,0.132904,2022-08-16,Fulano de Tal
84,1986-09-30,0.132986,2022-08-16,Fulano de Tal
85,1986-10-01,0.066685,2022-08-16,Fulano de Tal
86,1986-10-02,0.071945,2022-08-16,Fulano de Tal
87,1986-10-03,0.076767,2022-08-16,Fulano de Tal
88,1986-10-06,0.08337,2022-08-16,Fulano de Tal
89,1986-10-07,0.083836,2022-08-16,Fulano de Tal
90,1986-10-08,0.084411,2022-08-16,Fulano de Tal
91,1986-10-09,0.086055,2022-08-16,Fulano de Tal
92,1986-10-10,0.086356,2022-08-16,Fulano de Tal
93,1986-10-13,0.08611,2022-08-16,Fulano de Tal
94,1986-10-14,0.08611,2022-08-16,Fulano de Tal
95,1986-10-15,0.086301,2022-08-16,Fulano de Tal
96,1986-10-16,0.086493,2022-08-16,Fulano de Tal
97,1986-10-17,0.086192,2022-08-16,Fulano de Tal
98,1986-10-20,0.086411,2022-08-16,Fulano de Tal
99,1986-10-21,0.086356,2022-08-16,Fulano de Tal
100,1986-10-22,0.086356,2022-08-16,Fulano de Tal
101,1986-10-23,0.086301,2022-08-16,Fulano de Tal
102,1986-10-24,0.086301,2022-08-16,Fulano de Tal
103,1986-10-27,0.086356,2022-08-16,Fulano de Tal
104,1986-10-28,0.086438,2022-08-16,Fulano de Tal
105,1986-10-29,0.086384,2022-08-16,Fulano de Tal
106,1986-10-30,0.086493,2022-08-16,Fulano de Tal
107,1986-10-31,0.090055,2022-08-16,Fulano de Tal
108,1986-11-03,0.112685,2022-08-16,Fulano de Tal
109,1986-11-04,0.115041,2022-08-16,Fulano de Tal
110,1986-11-05,0.115123,2022-08-16,Fulano de Tal
111,1986-11-06,0.115041,2022-08-16,Fulano de Tal
112,1986-11-07,0.114575,2022-08-16,Fulano de Tal
113,1986-11-10,0.113452,2022-08-16,Fulano de Tal
114,1986-11-11,0.110822,2022-08-16,Fulano de Tal
115,1986-11-12,0.111205,2022-08-16,Fulano de Tal
116,1986-11-13,0.111342,2022-08-16,Fulano de Tal
117,1986-11-14,0.111781,2022-08-16,Fulano de Tal
118,1986-11-17,0.112219,2022-08-16,Fulano de Tal
119,1986-11-18,0.112164,2022-08-16,Fulano de Tal
120,1986-11-19,0.112192,2022-08-16,Fulano de Tal
121,1986-11-20,0.111233,2022-08-16,Fulano de Tal
122,1986-11-21,0.112192,2022-08-16,Fulano de Tal
123,1986-11-24,0.115041,2022-08-16,Fulano de Tal
124,1986-11-25,0.123397,2022-08-16,Fulano de Tal
125,1986-11-26,0.134986,2022-08-16,Fulano de Tal
126,1986-11-27,0.138,2022-08-16,Fulano de Tal
127,1986-11-28,0.140438,2022-08-16,Fulano de Tal
128,1986-12-01,0.199096,2022-08-16,Fulano de Tal
129,1986-12-02,0.234822,2022-08-16,Fulano de Tal
130,1986-12-03,0.225699,2022-08-16,Fulano de Tal
131,1986-12-04,0.21937,2022-08-16,Fulano de Tal
132,1986-12-05,0.220575,2022-08-16,Fulano de Tal
133,1986-12-08,0.228575,2022-08-16,Fulano de Tal
134,1986-12-09,0.243342,2022-08-16,Fulano de Tal
135,1986-12-10,0.246658,2022-08-16,Fulano de Tal
136,1986-12-11,0.238274,2022-08-16,Fulano de Tal
137,1986-12-12,0.238274,2022-08-16,Fulano de Tal
138,1986-12-15,0.238411,2022-08-16,Fulano de Tal
139,1986-12-16,0.23611,2022-08-16,Fulano de Tal
140,1986-12-17,0.239288,2022-08-16,Fulano de Tal
141,1986-12-18,0.240904,2022-08-16,Fulano de Tal
142,1986-12-19,0.240548,2022-08-16,Fulano de Tal
143,1986-12-22,0.243507,2022-08-16,Fulano de Tal
144,1986-12-23,0.245671,2022-08-16,Fulano de Tal
145,1986-12-24,0.245671,2022-08-16,Fulano de Tal
146,1986-12-26,0.245671,2022-08-16,Fulano de Tal
147,1986-12-29,0.247836,2022-08-16,Fulano de Tal
148,1986-12-30,0.30526,2022-08-16,Fulano de Tal
149,1986-12-31,0.30526,2022-08-16,Fulano de Tal
150,1987-01-02,0.30526,2022-08-16,Fulano de Tal
151,1987-01-05,0.416301,2022-08-16,Fulano de Tal
152,1987-01-06,0.407068,2022-08-16,Fulano de Tal
153,1987-01-07,0.405836,2022-08-16,Fulano de Tal
154,1987-01-08,0.40937,2022-08-16,Fulano de Tal
155,1987-01-09,0.499288,2022-08-16,Fulano de Tal
156,1987-01-12,0.497425,2022-08-16,Fulano de Tal
157,1987-01-13,0.498904,2022-08-16,Fulano de Tal
158,1987-01-14,0.500356,2022-08-16,Fulano de Tal
159,1987-01-15,0.516658,2022-08-16,Fulano de Tal
160,1987-01-16,0.515315,2022-08-16,Fulano de Tal
161,1987-01-19,0.515315,2022-08-16,Fulano de Tal
162,1987-01-20,0.515836,2022-08-16,Fulano de Tal
163,1987-01-21,0.515973,2022-08-16,Fulano de Tal
164,1987-01-22,0.51526,2022-08-16,Fulano de Tal
165,1987-01-23,0.572795,2022-08-16,Fulano de Tal
166,1987-01-26,0.57263,2022-08-16,Fulano de Tal
167,1987-01-27,0.571616,2022-08-16,Fulano de Tal
168,1987-01-28,0.571945,2022-08-16,Fulano de Tal
169,1987-01-29,0.571534,2022-08-16,Fulano de Tal
170,1987-01-30,0.572192,2022-08-16,Fulano de Tal
171,1987-02-02,0.767178,2022-08-16,Fulano de Tal
172,1987-02-03,0.767041,2022-08-16,Fulano de Tal
173,1987-02-04,0.767096,2022-08-16,Fulano de Tal
174,1987-02-05,0.766877,2022-08-16,Fulano de Tal
175,1987-02-06,0.772986,2022-08-16,Fulano de Tal
176,1987-02-09,0.910658,2022-08-16,Fulano de Tal
177,1987-02-10,1.000658,2022-08-16,Fulano de Tal
178,1987-02-11,1.017425,2022-08-16,Fulano de Tal
179,1987-02-12,1.017863,2022-08-16,Fulano de Tal
180,1987-02-13,1.018164,2022-08-16,Fulano de Tal
181,1987-02-16,1.016575,2022-08-16,Fulano de Tal
182,1987-02-17,1.01874,2022-08-16,Fulano de Tal
